CBSA_CODE,Year,avg_aqi,median_aqi,max_aqi,min_aqi,days_reported,most_common_category,most_common_parameter,CBSA Code,county_fips,County Name,State Name,LAUS Code,State FIPS Code,County FIPS Code,county_state_name,labor_force,employed,unemployed,unemployment_rate,source_year,state_name,county_fips_str,year,Rank,COUNTY_NAME,STATE_NAME,FIPS,Scaled SCI ,Avg_Unemployment,Unemp
28140,2021,57.2,55,147,27,365,Moderate,PM2.5,28140,20091,Johnson County,Kansas,CN2009100000000,20,91,"Johnson County, KS",343954,334168,9786,2.8,2021,Kansas,20091,2021,24,Johnson County,Kansas,20091,5060282,2.8,2.8
28140,2022,56.07,54,115,24,365,Moderate,PM2.5,28140,20091,Johnson County,Kansas,CN2009100000000,20,91,"Johnson County, KS",349831,341497,8334,2.4,2022,Kansas,20091,2022,24,Johnson County,Kansas,20091,5060282,,2.4
28140,2023,60.84,55,166,15,365,Moderate,PM2.5,28140,20091,Johnson County,Kansas,CN2009100000000,20,91,"Johnson County, KS",355475,346043,9432,2.7,2023,Kansas,20091,2023,24,Johnson County,Kansas,20091,5060282,,2.7
28140,2024,55.14,53,126,22,366,Moderate,PM2.5,28140,20091,Johnson County,Kansas,CN2009100000000,20,91,"Johnson County, KS",360344,348553,11791,3.3,2024,Kansas,20091,2024,24,Johnson County,Kansas,20091,5060282,,3.3
29820,2021,67.31,62,183,33,365,Moderate,Ozone,29820,32003,Clark County,Nevada,CN3200300000000,32,3,"Clark County, NV",1092773,1007573,85200,7.8,2021,Nevada,32003,2021,9,Clark County,Nevada,32003,119636349,6.15,7.8
29820,2022,70.72,64,480,35,365,Moderate,Ozone,29820,32003,Clark County,Nevada,CN3200300000000,32,3,"Clark County, NV",1145666,1081796,63870,5.6,2022,Nevada,32003,2022,9,Clark County,Nevada,32003,119636349,,5.6
29820,2023,66.48,61,197,31,365,Moderate,Ozone,29820,32003,Clark County,Nevada,CN3200300000000,32,3,"Clark County, NV",1188035,1124234,63801,5.4,2023,Nevada,32003,2023,9,Clark County,Nevada,32003,119636349,,5.4
29820,2024,69.27,64,170,33,366,Moderate,Ozone,29820,32003,Clark County,Nevada,CN3200300000000,32,3,"Clark County, NV",1218685,1147870,70815,5.8,2024,Nevada,32003,2024,9,Clark County,Nevada,32003,119636349,,5.8
30700,2021,38.24,37,84,13,276,Good,Ozone,30700,31109,Lancaster County,Nebraska,CN3110900000000,31,109,"Lancaster County, NE",177325,172814,4511,2.5,2021,Nebraska,31109,2021,16,Lancaster County,Nebraska,31109,51562591,2.3,2.5
30700,2022,37.32,37,64,13,277,Good,Ozone,30700,31109,Lancaster County,Nebraska,CN3110900000000,31,109,"Lancaster County, NE",179449,175794,3655,2,2022,Nebraska,31109,2022,16,Lancaster County,Nebraska,31109,51562591,,2
30700,2023,44.39,42,160,9,283,Good,Ozone,30700,31109,Lancaster County,Nebraska,CN3110900000000,31,109,"Lancaster County, NE",182074,178156,3918,2.2,2023,Nebraska,31109,2023,16,Lancaster County,Nebraska,31109,51562591,,2.2
30700,2024,41.05,41,82,12,283,Good,Ozone,30700,31109,Lancaster County,Nebraska,CN3110900000000,31,109,"Lancaster County, NE",184215,179538,4677,2.5,2024,Nebraska,31109,2024,16,Lancaster County,Nebraska,31109,51562591,,2.5
